relative_path,size_mb,type,keep_local,publish_git,reason
data/sample_submission.csv,7.346983,DATA,true,false,competition/external data; distribution terms must be verified
data/test.csv,17.807960,DATA,true,false,competition/external data; distribution terms must be verified
data/train.csv,42.777582,DATA,true,false,competition/external data; distribution terms must be verified
outputs/metrics/exp001_logistic_oof.csv,19.068188,PREDICTION,true,false,generated row-level OOF prediction; legacy location under metrics
outputs/metrics/exp002_catboost_oof.csv,19.108239,PREDICTION,true,false,generated row-level OOF prediction; legacy location under metrics
outputs/metrics/exp003_catboost_oof.csv,19.135181,PREDICTION,true,false,generated row-level OOF prediction; legacy location under metrics
outputs/predictions/oof_exp003_catboost.csv,18.895778,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp004_lightgbm.csv,19.139087,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp006_lightgbm_features.csv,19.141610,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp008_xgboost.csv,19.128324,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp010_xgboost_features.csv,19.132118,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp012_xgboost_thresholds.csv,19.127816,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp014_xgboost_ambiguous.csv,19.130564,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp015_xgboost_depth5.csv,19.098492,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp016_xgboost_depth5_9000.csv,19.048297,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp018_xgboost_nested_negative.csv,19.049489,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp019_lightgbm_thresholds.csv,19.146023,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp020_catboost_thresholds.csv,19.145473,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp022_catboost_thresholds_9000.csv,19.146636,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp023_nested_gating_diagnostic.csv,46.142007,PREDICTION,true,false,generated row-level predictions; heavy artifact
outputs/predictions/oof_exp023_stack_logreg.csv,20.477412,PREDICTION,true,false,generated row-level predictions; heavy artifact
