old_path,new_path,action,wrapper_created,hash_before,hash_after,reason
src/diagnose_catboost_convergence.py,src/diagnostics/catboost_convergence.py,MOVE,false,f4be55ebeca3f354a1ed0c6dfefa912bb47aa60137ee0c2bd373731654da2110,1db9b2e67a7fc9bc999a336f98da6d38fd8ea60da9f61695ebc900ed55d40a76,Move diagnostic and update only imports/project paths
src/diagnose_exp024_nearest_neighbors.py,src/diagnostics/nearest_neighbors.py,MOVE,false,9cc2fcbd1008be0c416b4c16e31d45e9a2bfa5123410eec222d9884358510327,44d77d6543806ac62263d587c668adb421b8d851889deb386c37a66c6b241a6a,Move diagnostic and update only imports/project paths
src/diagnose_exp025_adversarial_validation.py,src/diagnostics/train_test_shift.py,MOVE,false,f9763376e7eb7dc0993d109914a8ac7dc718065df86bb92acb78ae51f8147ae5,54732d374d58600516ed43a711ae0bd85deeb0c900e1fb32ee6b3f14b7050c75,Move diagnostic and update only imports/project paths
src/diagnose_exp026_original_forensics.py,src/diagnostics/original_data_analysis.py,MOVE,false,3d7b7f62dd2daa90b9942be854c6c9b3732931fa0f6c93df602546cfab3d639a,6f5cb8728c55fbe12f95ea2e2bac39b2f7677059057640cd74ef20507d8d05f1,Move diagnostic and update only imports/project paths
src/diagnose_exp027_seed_diversity.py,src/diagnostics/seed_stability.py,MOVE,false,decb1e5e764076b6134704c100e1832918c46ee6b70aba7a117360baaca7f585,cdee8186f2e10feaed4a43ed27c11358191ca9ab54272085b72fed6261515a84,Move diagnostic and update only imports/project paths
src/diagnose_exp033_exact_value_te.py,src/diagnostics/exact_value_encoding.py,MOVE,false,df30dd8dc7e3132bbaf6f6975afa276c6f5a79c52ba8c3d8c00dbc8474e169cd,5fc61f294ccb27614db437b90542d753b225b41fd23537a9a6d513ebf7ac319d,Move diagnostic and update only imports/project paths
src/diagnose_exp041b_realmlp.py,src/diagnostics/realmlp_audit.py,MOVE,false,9a9387a1e63b238dede74b5401a7a0b20fb4d35388be6b7cf3fadfd7fa999ee8,9a9387a1e63b238dede74b5401a7a0b20fb4d35388be6b7cf3fadfd7fa999ee8,Move diagnostic and update only imports/project paths
src/diagnose_negative_zone.py,src/diagnostics/negative_region.py,MOVE,false,2288979fe40a074bab8e73744bd997a68efa0cb547d5c66ec34702ace4cc21b9,84fb1285ec795f564594666d009564440b6a0aa857feb46e6372782bc52f449f,Move diagnostic and update only imports/project paths
src/diagnose_nested_gating_exp023.py,src/diagnostics/model_gating.py,MOVE,false,f454a02926552166876f3b920454141576c8dccab82a09a6198184fdc8054d4a,53af2e95292c68d95f18abe50c0e3ada257628689dbcdbad8f7ad12ab547ae79,Move diagnostic and update only imports/project paths
src/diagnose_thresholds.py,src/diagnostics/threshold_analysis.py,MOVE,false,be91899b8d465c4017df7cc13c3ea3a8c2713535d8e5cf48a1c3a662da29b392,5027b314a09f5c2e829f29d5a46de99b42b2c742a7c63d7094cd319be302032e,Move diagnostic and update only imports/project paths
src/diagnose_weak_bands.py,src/diagnostics/score_bands.py,MOVE,false,8c5f7c4faac31206055d1009de8ef949fcfbe571fb4ab75cf6fb11922abcc263,d59cd587c507ed287fd6888ff18a803ff9a2c15f8917613c90ee75ab02ed9c60,Move diagnostic and update only imports/project paths
src/diagnose_xgboost_depth5_regularization.py,src/diagnostics/xgboost_regularization.py,MOVE,false,9ac5105d822521d99e417a9d4c2f38040c009bd1f59dfc42bfadd2c65c4ec9fd,3a8463d0e302a96efee90112426396b011fb42124f535e2f0e712afcceb1389f,Move diagnostic and update only imports/project paths
src/diagnose_xgboost_hyperparams.py,src/diagnostics/xgboost_parameters.py,MOVE,false,7f027f8c9ee10cd57d319be6af093105358a624cf3fdb7f1ec3323415070165b,1d5e8909b80a1373d9c504e5fdd687a35e504c1290db2dde25f53cb4c0cbe5c1,Move diagnostic and update only imports/project paths
