group,feature,type,group_mean,rest_mean,group_median,rest_median,standardized_mean_difference,distance,distance_name,abs_smd
hard_positive_5,age,numeric,26.47451347783503,26.636863648278382,27.0,27.0,-0.03129466304695846,0.029753395143849726,KS,0.03129466304695846
hard_positive_5,daily_screen_time_hours,numeric,5.191330032027594,8.883988776063562,5.32,9.19,-1.9074942848944547,0.6774600552428351,KS,1.9074942848944547
hard_positive_5,social_media_hours,numeric,1.5579542887873084,2.9866828016485276,1.52,2.9,-1.4706304953050502,0.5667954019654493,KS,1.4706304953050502
hard_positive_5,gaming_hours,numeric,1.1278293164346562,1.6050670794904423,1.02,1.52,-0.5479882981660658,0.22961031029877033,KS,0.5479882981660658
hard_positive_5,notifications_per_day,numeric,146.8550404709345,145.3312607402865,154.0,150.0,0.023012910160928116,0.028102487812636467,KS,0.023012910160928116
hard_positive_5,app_opens_per_day,numeric,98.31715787497653,104.9176993321786,100.0,109.0,-0.13767124558644556,0.08439652885841242,KS,0.13767124558644556
hard_positive_5,sleep_hours,numeric,6.712774134312697,6.84453982944495,6.7,6.84,-0.10661416152687035,0.056304990136344935,KS,0.10661416152687035
hard_positive_5,work_study_hours,numeric,1.8258959203626344,2.608359656992635,1.67,2.52,-0.6709487495330119,0.26985272548123196,KS,0.6709487495330119
hard_positive_5,weekend_screen_time,numeric,6.999456076025141,10.7413058842345,7.08,10.94,-1.800793411082379,0.6608241753810398,KS,1.800793411082379
hard_positive_5,gender,categorical,,,,,,0.027242887516395635,TV,
hard_positive_5,stress_level,categorical,,,,,,0.0059377530912033405,TV,
hard_positive_5,academic_work_impact,categorical,,,,,,0.0063949290160151065,TV,
hard_negative_5,age,numeric,26.445969838793552,26.59005732585019,26.0,27.0,-0.027817673511932494,0.0296791898016302,KS,0.027817673511932494
hard_negative_5,daily_screen_time_hours,numeric,6.829652596189765,4.956064846147792,6.96,4.93,1.1336944273534986,0.4626075160392793,KS,1.1336944273534986
hard_negative_5,social_media_hours,numeric,2.440298526585522,1.3222639844829487,2.44,1.25,1.4785570363601013,0.5624471270718073,KS,1.4785570363601013
hard_negative_5,gaming_hours,numeric,1.304434174369223,1.1522559308468066,1.19,1.07,0.19176181079344312,0.07947900448123169,KS,0.19176181079344312
hard_negative_5,notifications_per_day,numeric,144.79706601466992,147.20727276947898,151.0,154.0,-0.03626517727678777,0.03703922861447961,KS,0.03626517727678777
hard_negative_5,app_opens_per_day,numeric,103.8556289881495,97.5605725177284,104.0,99.0,0.1307575779816344,0.08649770921876665,KS,0.1307575779816344
hard_negative_5,sleep_hours,numeric,6.835414270500532,6.716380708899281,6.78,6.71,0.09577651774564752,0.05221807578877102,KS,0.09577651774564752
hard_negative_5,work_study_hours,numeric,2.175838991270611,1.8566578385933938,2.03,1.74,0.2995135054290509,0.12429018138923453,KS,0.2995135054290509
hard_negative_5,weekend_screen_time,numeric,8.674701910828025,6.7596879373677,8.89,6.76,1.064393399220161,0.4495556390959554,KS,1.064393399220161
hard_negative_5,gender,categorical,,,,,,0.02448589155976519,TV,
hard_negative_5,stress_level,categorical,,,,,,0.0099243370773359,TV,
hard_negative_5,academic_work_impact,categorical,,,,,,0.007264180457002979,TV,
hard_positive_10,age,numeric,26.49822937110675,26.643214488367693,27.0,27.0,-0.028015381339248045,0.02657561362226657,KS,0.028015381339248045
hard_positive_10,daily_screen_time_hours,numeric,5.341633856479612,9.055022931524247,5.44,9.3,-1.9749207674675249,0.6902586467896135,KS,1.9749207674675249
hard_positive_10,social_media_hours,numeric,1.7259352409224595,3.0404381466987895,1.7,2.98,-1.3439312925288955,0.5341976905346704,KS,1.3439312925288955
hard_positive_10,gaming_hours,numeric,1.1120072573487183,1.6318563998884168,0.99,1.56,-0.5965211654795446,0.25399308519629415,KS,0.5965211654795446
hard_positive_10,notifications_per_day,numeric,146.07063440156966,145.33496137976937,153.0,150.0,0.011107760502099943,0.024121437966794224,KS,0.011107760502099943
hard_positive_10,app_opens_per_day,numeric,99.47903491396798,105.14082630510278,100.0,109.0,-0.11815602181478418,0.07429727493853977,KS,0.11815602181478418
