feature_a,feature_b,mean_strength,std_strength,abs_mean_strength
work_study_hours,screen_le_6,-0.45515071153640746,0.010610529464734057,0.45515071153640746
social_media_hours,screen_minus_social,-0.4274897038936615,0.00930418772934838,0.4274897038936615
social_dist_to_4,screen_minus_social,-0.3950953960418701,0.01067676380497149,0.3950953960418701
social_media_hours,social_dist_to_4,0.3911923885345459,0.016679784435838504,0.3911923885345459
weekend_screen_time,screen_x_social,-0.3701418161392212,0.009300243287654332,0.3701418161392212
screen_minus_social,min_abs_threshold_distance,-0.3688223838806152,0.012532279721949258,0.3688223838806152
screen_le_6,screen_mid_band,0.36739925742149354,0.023100904606256367,0.36739925742149354
social_media_hours,social_over_screen,-0.35242287516593934,0.011264075910511517,0.35242287516593934
screen_minus_social,social_over_screen,0.3464956521987915,0.010979096022228688,0.3464956521987915
social_dist_to_4,social_over_screen,-0.33720101714134215,0.012313435050839526,0.33720101714134215
work_study_hours,screen_mid_band,-0.31236236095428466,0.006101207979006286,0.31236236095428466
gaming_hours,screen_le_6,-0.298797070980072,0.01640594861659306,0.298797070980072
work_study_hours,weekend_screen_time,0.2945790469646454,0.009685017776850897,0.2945790469646454
weekend_screen_time,screen_abs_dist_to_6,0.291549414396286,0.013535433983364398,0.291549414396286
social_abs_dist_to_4,screen_minus_social,0.29134519696235656,0.013410902085781764,0.29134519696235656
social_over_screen,region_code,-0.2885602593421936,0.007568734547465321,0.2885602593421936
clear_positive_zone,social_over_screen,-0.2810884416103363,0.005850527738408063,0.2810884416103363
screen_gt_8,social_over_screen,-0.2765052080154419,0.008361589154110376,0.2765052080154419
gaming_hours,work_study_hours,0.25196683406829834,0.007753680205815931,0.25196683406829834
gaming_hours,weekend_screen_time,0.23850983679294585,0.0056422745396473495,0.23850983679294585
work_study_hours,clear_positive_zone,-0.22517947852611542,0.0056922904679307385,0.22517947852611542
social_media_hours,screen_le_6,-0.22251874804496766,0.03026048643877554,0.22251874804496766
gaming_hours,screen_mid_band,-0.21273850202560424,0.009963198243354232,0.21273850202560424
work_study_hours,social_over_screen,0.20947275161743165,0.009262892115938521,0.20947275161743165
screen_le_6,screen_abs_dist_to_8,-0.2032812774181366,0.028979412956809017,0.2032812774181366
social_media_hours,min_abs_threshold_distance,0.2032151222229004,0.005996223571588802,0.2032151222229004
screen_le_6,screen_minus_social,0.2018866777420044,0.04027272081343975,0.2018866777420044
social_media_hours,screen_x_social,0.201375812292099,0.012869167771982921,0.201375812292099
social_media_hours,social_abs_dist_to_4,-0.2007964789867401,0.008643978896158406,0.2007964789867401
work_study_hours,region_code,-0.19707534611225128,0.008915845115410789,0.19707534611225128
social_dist_to_4,screen_x_social,0.19547972083091736,0.011009579392104424,0.19547972083091736
screen_le_6,social_dist_to_4,-0.191867458820343,0.021173252141812687,0.191867458820343
social_dist_to_4,social_abs_dist_to_4,-0.18802832067012787,0.006413782337095791,0.18802832067012787
screen_le_6,min_abs_threshold_distance,-0.18795078098773957,0.016654900012210178,0.18795078098773957
screen_x_social,screen_minus_social,-0.18427052795886995,0.004835184203198321,0.18427052795886995
clear_positive_zone,region_code,0.1825700432062149,0.005148765364285407,0.1825700432062149
ambiguous_zone,social_over_screen,0.1782594233751297,0.00567510134974888,0.1782594233751297
social_dist_to_4,min_abs_threshold_distance,0.17218935191631318,0.004225099550705545,0.17218935191631318
screen_abs_dist_to_6,screen_x_social,-0.16981635093688965,0.010485437459602696,0.16981635093688965
social_abs_dist_to_4,min_abs_threshold_distance,-0.16338959634304046,0.010405047792196205,0.16338959634304046
screen_abs_dist_to_8,social_over_screen,-0.1576372742652893,0.007458161261966986,0.1576372742652893
screen_dist_to_6,social_over_screen,-0.15719250440597535,0.012598913414780023,0.15719250440597535
screen_gt_8,clear_positive_zone,0.15580954551696777,0.0036422332109952073,0.15580954551696777
screen_le_6,screen_abs_dist_to_6,-0.15329096019268035,0.012729889269723975,0.15329096019268035
screen_dist_to_8,social_over_screen,-0.15276867747306824,0.010276947901740737,0.15276867747306824
screen_le_6,social_abs_dist_to_4,0.15266888439655305,0.023986160582880306,0.15266888439655305
daily_screen_time_hours,social_over_screen,-0.15260744392871856,0.009084009129460478,0.15260744392871856
social_over_screen,min_abs_threshold_distance,-0.1481911212205887,0.004536792618845338,0.1481911212205887
gaming_hours,clear_positive_zone,-0.14817181825637818,0.00490824439906108,0.14817181825637818
screen_gt_8,region_code,0.14610208570957184,0.002726708599369853,0.14610208570957184
social_abs_dist_to_4,social_over_screen,0.14441248774528503,0.010435208794002199,0.14441248774528503
work_study_hours,screen_gt_8,-0.1395992487668991,0.0032199829310126317,0.1395992487668991
daily_screen_time_hours,weekend_screen_time,0.1386905699968338,0.004295935856162264,0.1386905699968338
weekend_screen_time,screen_minus_social,0.13580054938793182,0.014237512330789539,0.13580054938793182
screen_le_6,clear_positive_zone,0.13364391773939133,0.01719609766931315,0.13364391773939133
weekend_screen_time,screen_dist_to_6,0.12659116834402084,0.004824596402781101,0.12659116834402084
gaming_hours,social_over_screen,0.12407945990562438,0.014950787635306441,0.12407945990562438
clear_positive_zone,screen_mid_band,0.12392031997442246,0.008187997631172709,0.12392031997442246
screen_abs_dist_to_8,screen_mid_band,-0.12009269893169403,0.011537565071693687,0.12009269893169403
social_gt_4,social_le_4,-0.11788371950387955,0.008949283742823508,0.11788371950387955
screen_gt_8,screen_abs_dist_to_8,0.11768531054258347,0.003067864474235941,0.11768531054258347
daily_screen_time_hours,screen_dist_to_6,0.11620056629180908,0.006236839954504766,0.11620056629180908
daily_screen_time_hours,screen_x_social,-0.11514300256967544,0.005252367009358319,0.11514300256967544
weekend_screen_time,screen_dist_to_8,0.11387640684843063,0.005463489606967293,0.11387640684843063
clear_positive_zone,ambiguous_zone,-0.11382696032524109,0.0019463277167812978,0.11382696032524109
daily_screen_time_hours,screen_dist_to_8,0.11265484541654587,0.005316259566227047,0.11265484541654587
screen_dist_to_6,screen_x_social,-0.11239107847213745,0.005762690352251548,0.11239107847213745
screen_plus_social,screen_minus_social,0.11236020177602768,0.010838889691986864,0.11236020177602768
screen_dist_to_6,screen_dist_to_8,0.11210213154554367,0.007011709919186432,0.11210213154554367
screen_gt_8,screen_minus_social,-0.11156996339559555,0.008567088916123644,0.11156996339559555
gaming_hours,screen_gt_8,-0.11071393489837647,0.009391973836971233,0.11071393489837647
gaming_hours,region_code,-0.1086337298154831,0.003931216025745714,0.1086337298154831
screen_plus_social,min_abs_threshold_distance,-0.10818997025489807,0.004901406431932042,0.10818997025489807
screen_gt_8,ambiguous_zone,-0.1071948379278183,0.003559303360714792,0.1071948379278183
weekend_screen_time,min_abs_threshold_distance,-0.1050419807434082,0.012184471900710201,0.1050419807434082
screen_dist_to_8,screen_x_social,-0.10418165624141693,0.005460817091552025,0.10418165624141693
weekend_screen_time,social_near_threshold,0.1034720629453659,0.004212392465896546,0.1034720629453659
ambiguous_zone,region_code,-0.10258848369121551,0.0010070860104206638,0.10258848369121551
work_study_hours,ambiguous_zone,0.10249209702014923,0.0028496510214996254,0.10249209702014923
