split,feature,position,rows_checked,values_match,nan_match,dtype_match,index_match,order_match,max_abs_diff,status
outer_train,age,0,9600,True,True,True,True,True,0.0,PASS
outer_train,gender,1,9600,True,True,True,True,True,,PASS
outer_train,daily_screen_time_hours,2,9600,True,True,True,True,True,0.0,PASS
outer_train,social_media_hours,3,9600,True,True,True,True,True,0.0,PASS
outer_train,gaming_hours,4,9600,True,True,True,True,True,0.0,PASS
outer_train,notifications_per_day,5,9600,True,True,True,True,True,0.0,PASS
outer_train,app_opens_per_day,6,9600,True,True,True,True,True,0.0,PASS
outer_train,sleep_hours,7,9600,True,True,True,True,True,0.0,PASS
outer_train,work_study_hours,8,9600,True,True,True,True,True,0.0,PASS
outer_train,weekend_screen_time,9,9600,True,True,True,True,True,0.0,PASS
outer_train,stress_level,10,9600,True,True,True,True,True,,PASS
outer_train,academic_work_impact,11,9600,True,True,True,True,True,,PASS
outer_train,weekend_freq,12,9600,True,True,True,True,True,0.0,PASS
outer_train,screen_freq,13,9600,True,True,True,True,True,0.0,PASS
outer_train,social_over_screen,14,9600,True,True,True,True,True,0.0,PASS
outer_train,gaming_over_screen,15,9600,True,True,True,True,True,0.0,PASS
outer_train,work_over_screen,16,9600,True,True,True,True,True,0.0,PASS
outer_train,work_over_social,17,9600,True,True,True,True,True,0.0,PASS
outer_train,gaming_over_social,18,9600,True,True,True,True,True,0.0,PASS
outer_train,screen_minus_social,19,9600,True,True,True,True,True,0.0,PASS
outer_valid,age,0,2400,True,True,True,True,True,0.0,PASS
outer_valid,gender,1,2400,True,True,True,True,True,,PASS
outer_valid,daily_screen_time_hours,2,2400,True,True,True,True,True,0.0,PASS
outer_valid,social_media_hours,3,2400,True,True,True,True,True,0.0,PASS
outer_valid,gaming_hours,4,2400,True,True,True,True,True,0.0,PASS
outer_valid,notifications_per_day,5,2400,True,True,True,True,True,0.0,PASS
outer_valid,app_opens_per_day,6,2400,True,True,True,True,True,0.0,PASS
outer_valid,sleep_hours,7,2400,True,True,True,True,True,0.0,PASS
outer_valid,work_study_hours,8,2400,True,True,True,True,True,0.0,PASS
outer_valid,weekend_screen_time,9,2400,True,True,True,True,True,0.0,PASS
outer_valid,stress_level,10,2400,True,True,True,True,True,,PASS
outer_valid,academic_work_impact,11,2400,True,True,True,True,True,,PASS
outer_valid,weekend_freq,12,2400,True,True,True,True,True,0.0,PASS
outer_valid,screen_freq,13,2400,True,True,True,True,True,0.0,PASS
outer_valid,social_over_screen,14,2400,True,True,True,True,True,0.0,PASS
outer_valid,gaming_over_screen,15,2400,True,True,True,True,True,0.0,PASS
outer_valid,work_over_screen,16,2400,True,True,True,True,True,0.0,PASS
outer_valid,work_over_social,17,2400,True,True,True,True,True,0.0,PASS
outer_valid,gaming_over_social,18,2400,True,True,True,True,True,0.0,PASS
outer_valid,screen_minus_social,19,2400,True,True,True,True,True,0.0,PASS
test,age,0,6000,True,True,True,True,True,0.0,PASS
test,gender,1,6000,True,True,True,True,True,,PASS
test,daily_screen_time_hours,2,6000,True,True,True,True,True,0.0,PASS
test,social_media_hours,3,6000,True,True,True,True,True,0.0,PASS
test,gaming_hours,4,6000,True,True,True,True,True,0.0,PASS
test,notifications_per_day,5,6000,True,True,True,True,True,0.0,PASS
test,app_opens_per_day,6,6000,True,True,True,True,True,0.0,PASS
test,sleep_hours,7,6000,True,True,True,True,True,0.0,PASS
test,work_study_hours,8,6000,True,True,True,True,True,0.0,PASS
test,weekend_screen_time,9,6000,True,True,True,True,True,0.0,PASS
test,stress_level,10,6000,True,True,True,True,True,,PASS
test,academic_work_impact,11,6000,True,True,True,True,True,,PASS
test,weekend_freq,12,6000,True,True,True,True,True,0.0,PASS
test,screen_freq,13,6000,True,True,True,True,True,0.0,PASS
test,social_over_screen,14,6000,True,True,True,True,True,0.0,PASS
test,gaming_over_screen,15,6000,True,True,True,True,True,0.0,PASS
test,work_over_screen,16,6000,True,True,True,True,True,0.0,PASS
test,work_over_social,17,6000,True,True,True,True,True,0.0,PASS
test,gaming_over_social,18,6000,True,True,True,True,True,0.0,PASS
test,screen_minus_social,19,6000,True,True,True,True,True,0.0,PASS
