lower_screen,upper_screen,social_threshold,valid_rows,positive_count,positive_coverage,positive_purity,negative_count,negative_coverage,negative_purity,ambiguous_count,ambiguous_coverage,ambiguous_target_rate,contradictory_false_positives,contradictory_false_negatives,contradictory_count,assigned_coverage,contradiction_rate,rule_score
5.0,7.0,3.0,502260,305627,0.6085035638912117,0.9341975676232793,101331,0.20175008959503046,0.7137795936090634,95302,0.18974634651375782,0.43760886445195274,20111,29003,49114,0.8102536534862422,0.1206856727229837,0.7124676462389998
5.0,7.0,3.25,502260,300116,0.5975311591605941,0.9366078449666129,101764,0.20261219288814558,0.7118627412444479,100380,0.1998566479512603,0.45637577206614865,19025,29322,48347,0.8001433520487397,0.12030208022295212,0.7038844423207102
5.0,7.0,3.5,502260,296551,0.5904332417473022,0.9375689173194492,101958,0.20299844701947198,0.7109692226210793,103751,0.20656831123322583,0.46956655839461786,18514,29469,47983,0.7934316887667742,0.1204063145374383,0.6978975032851511
5.0,7.0,3.75,502260,294302,0.5859554812248636,0.9380772132027645,102038,0.2031577270736272,0.7105980125051451,105920,0.21088679170150917,0.4778700906344411,18224,29530,47754,0.7891132082984909,0.12048746026139173,0.6940349619718871
5.0,7.0,4.0,502260,292985,0.5833333333333334,0.9382323327132789,102051,0.20318361008242744,0.710507491352363,107224,0.21348305658423924,0.4830355144370663,18097,29543,47640,0.7865169434157607,0.12059660385382598,0.6916656711663283
5.0,7.0,4.25,502260,292174,0.5817186317843348,0.9382936195554704,102053,0.20318759208378132,0.7104935670680921,108033,0.21509377613188388,0.48627734118278676,18029,29545,47574,0.7849062238681161,0.12067666598178207,0.6901863576633617
5.0,7.0,4.5,502260,291743,0.5808605104925736,0.9382915785468717,102053,0.20318759208378132,0.7104935670680921,108464,0.21595189742364512,0.4880789939519103,18003,29545,47548,0.7840481025763548,0.1207427195806966,0.6893800023892008
5.0,7.0,4.75,502260,291527,0.5804304543463544,0.9382527175870503,102053,0.20318759208378132,0.7104935670680921,108680,0.21638195356986423,0.489078027235922,18001,29545,47546,0.7836180464301358,0.12080390263732914,0.6889539282443355
5.0,7.0,5.0,502260,291407,0.5801915342651216,0.9382307219799113,102053,0.20318759208378132,0.7104935670680921,108800,0.21662087365109703,0.48963235294117646,18000,29545,47545,0.7833791263489029,0.12083820464596147,0.6887169991637797
5.0,7.25,3.0,502260,294700,0.5867478994942859,0.9458534102477095,101331,0.20175008959503046,0.7137795936090634,106229,0.2115020109106837,0.4563537263835676,15957,29003,44960,0.7884979890893163,0.11352646636248173,0.6989825986540836
5.0,7.25,3.25,502260,288126,0.5736590610440807,0.948744646439405,101764,0.20261219288814558,0.7118627412444479,112370,0.22372874606777365,0.476497285752425,14768,29322,44090,0.7762712539322263,0.11308317730641976,0.6884880340859315
5.0,7.25,3.5,502260,283683,0.5648130450364353,0.9500428294963039,101958,0.20299844701947198,0.7109692226210793,116619,0.2321885079440927,0.49086340990747646,14172,29469,43641,0.7678114920559073,0.11316483465191719,0.6809222315135587
5.0,7.25,3.75,502260,280847,0.5591665671166328,0.9507525449800069,102038,0.2031577270736272,0.7105980125051451,119375,0.23767570580973998,0.4999204188481675,13831,29530,43361,0.76232429419026,0.11324810321637045,0.6759925138374547
5.0,7.25,4.0,502260,279098,0.5556843069326644,0.9509957076009143,102051,0.20318361008242744,0.710507491352363,121111,0.2411320829849082,0.5058169778137411,13677,29543,43220,0.7588679170150918,0.11339397453489318,0.672816867757735
5.0,7.25,4.25,502260,278029,0.5535559272090153,0.9511022231493838,102053,0.20318759208378132,0.7104935670680921,122178,0.24325648070720343,0.509461605198972,13595,29545,43140,0.7567435192927966,0.11350182329076357,0.6708517500895951
5.0,7.25,4.5,502260,277413,0.5523294707920201,0.9511198105351948,102053,0.20318759208378132,0.7104935670680921,122794,0.24448293712419863,0.5116373764190433,13560,29545,43105,0.7555170628758013,0.11359383976430036,0.6696949786962928
5.0,7.25,4.75,502260,277080,0.551666467566599,0.9510718925941967,102053,0.20318759208378132,0.7104935670680921,123127,0.24514594034961973,0.5129338000601006,13557,29545,43102,0.7548540596503803,0.11368569868621302,0.6690379484729025
5.0,7.25,5.0,502260,276882,0.5512722494325648,0.9510477387479143,102053,0.20318759208378132,0.7104935670680921,123325,0.24554015848365388,0.5136914656395702,13554,29545,43099,0.7544598415163462,0.11373718447754892,0.6686497033408991
5.0,7.5,3.0,502260,286958,0.5713335722534145,0.9541744784951108,101331,0.20175008959503046,0.7137795936090634,113971,0.22691633815155496,0.46865430679734316,13150,29003,42153,0.773083661848445,0.10856089150091813,0.6891570103133835
5.0,7.5,3.25,502260,279529,0.5565424282244256,0.9575929509997174,101764,0.20261219288814558,0.7118627412444479,120967,0.24084537888742882,0.48961286962560036,11854,29322,41176,0.7591546211125711,0.1079904430451123,0.6771731772388803
5.0,7.5,3.5,502260,274413,0.5463564687611994,0.959174674669203,101958,0.20299844701947198,0.7109692226210793,125889,0.25064508421932863,0.5047700752249998,11203,29469,40672,0.7493549157806714,0.10806358619553579,0.6683769362481583
5.0,7.5,3.75,502260,271089,0.5397383825110501,0.9600647757747456,102038,0.2031577270736272,0.7105980125051451,129133,0.2571038904153227,0.5144386020614405,10826,29530,40356,0.7428961095846772,0.10815620418785026,0.6625472862660774
5.0,7.5,4.0,502260,268964,0.535507506072552,0.9603775970018292,102051,0.20318361008242744,0.710507491352363,131245,0.2613088838450205,0.5209646081755496,10657,29543,40200,0.7386911161549795,0.10835141436330067,0.6586528889419823
5.0,7.5,4.25,502260,267651,0.5328933221837295,0.9605493721301247,102053,0.20318759208378132,0.7104935670680921,132556,0.2639190857324891,0.5249630344910831,10559,29545,40104,0.7360809142675109,0.10847596996516132,0.6562338231194998
5.0,7.5,4.5,502260,266877,0.5313522876597778,0.96058109166395,102053,0.20318759208378132,0.7104935670680921,133330,0.2654601202564409,0.5274281857046427,10520,29545,40065,0.7345398797435592,0.10859783698804651,0.6547704376219488
5.0,7.5,4.75,502260,266434,0.5304702743598932,0.9605305629161444,102053,0.20318759208378132,0.7104935670680921,133773,0.2663421335563254,0.5289632437038865,10516,29545,40061,0.7336578664436746,0.10871753956041869,0.653896388324772
5.0,7.5,5.0,502260,266160,0.5299247401744117,0.9605012022843402,102053,0.20318759208378132,0.7104935670680921,134047,0.26688766774180706,0.5299036904966169,10513,29545,40058,0.733112332258193,0.10879029257522141,0.6533568271413213
5.0,7.75,3.0,502260,279215,0.5559172540118663,0.9609977973962717,101331,0.20175008959503046,0.7137795936090634,121714,0.24233265639310317,0.48388845983206535,10890,29003,39893,0.7576673436068968,0.10483095341956032,0.6782403536017201
5.0,7.75,3.25,502260,270658,0.5388802612192888,0.96493730094806,101764,0.20261219288814558,0.7118627412444479,129838,0.2585075458925656,0.506277052942898,9490,29322,38812,0.7414924541074344,0.10421511081515056,0.6642177358340301
5.0,7.75,3.5,502260,264618,0.5268546171305698,0.9668578857069436,101958,0.20299844701947198,0.7109692226210793,135684,0.2701469358499582,0.5225892514961233,8770,29469,38239,0.7298530641500418,0.10431397581947537,0.6537191892645243
5.0,7.75,3.75,502260,260586,0.5188269024011468,0.9679990482988342,102038,0.2031577270736272,0.7105980125051451,139636,0.27801537052522596,0.533150476954367,8339,29530,37869,0.721984629474774,0.10443048446876103,0.6465874248397244
5.0,7.75,4.0,502260,257956,0.513590570620794,0.9683938346074524,102051,0.20318361008242744,0.710507491352363,142253,0.28322581929677854,0.5404314847490035,8153,29543,37696,0.7167741807032214,0.10470907510131748,0.6417214191852826
5.0,7.75,4.25,502260,256301,0.5102954645004579,0.9686267318504415,102053,0.20318759208378132,0.7104935670680921,143906,0.2865169434157608,0.544932108459689,8041,29545,37586,0.7134830565842393,0.10488511360275035,0.6386493051407638
